pond_id,granule_id,orbit_direction,date,time_jst,rain_7d_mm,layer,band,band_label,scene_flag,band_area_m2,sampled_pixels,positive_pixels,positive_ratio,min_db,p10_db,p25_db,median_db,p75_db,p90_db,max_db,mean_db,baseline_median_db,delta_from_baseline_db
27,NISAR_L2_PR_GCOV_025_024_A_018_4005_DHDH_A_20260709T202900_20260709T202935_P05023_N_F_J_001,ASCENDING,2026-07-10,2026-07-10 05:29,109.800000,HHHH,inside_20_40,内側20–40 m,ok,12060.295974,120,120,1.000000,-18.539404,-16.451577,-14.498430,-13.156446,-11.775299,-10.838364,-4.075619,-13.122335,-13.338544,0.182097
27,NISAR_L2_PR_GCOV_025_024_A_018_4005_DHDH_A_20260709T202900_20260709T202935_P05023_N_F_J_001,ASCENDING,2026-07-10,2026-07-10 05:29,109.800000,HVHV,inside_20_40,内側20–40 m,ok,12060.295974,120,120,1.000000,-25.580148,-23.972892,-22.928892,-21.327731,-20.373569,-18.289705,-7.677809,-21.183339,-21.327731,0.000000
27,NISAR_L2_PR_GCOV_025_024_A_018_4005_DHDH_A_20260709T202900_20260709T202935_P05023_N_F_J_001,ASCENDING,2026-07-10,2026-07-10 05:29,109.800000,HHHH,inside_core,内側40 m以上,ok,8509.437294,88,88,1.000000,-19.513204,-17.530336,-15.387808,-13.797462,-12.654533,-11.446198,-9.101819,-14.061500,-13.797462,0.000000
27,NISAR_L2_PR_GCOV_025_024_A_018_4005_DHDH_A_20260709T202900_20260709T202935_P05023_N_F_J_001,ASCENDING,2026-07-10,2026-07-10 05:29,109.800000,HVHV,inside_core,内側40 m以上,ok,8509.437294,88,88,1.000000,-27.346455,-24.505895,-23.699860,-22.377942,-21.123879,-20.244564,-17.750441,-22.472927,-21.906236,-0.471706
27,NISAR_L2_PR_GCOV_025_024_A_018_4005_DHDH_A_20260709T202900_20260709T202935_P05023_N_F_J_001,ASCENDING,2026-07-10,2026-07-10 05:29,109.800000,HHHH,outside_0_20,外側0–20 m,ok,20861.924188,205,205,1.000000,-16.628842,-11.797096,-9.095122,-6.544273,-3.875073,-1.794707,5.644329,-6.629288,-6.544273,0.000000
27,NISAR_L2_PR_GCOV_025_024_A_018_4005_DHDH_A_20260709T202900_20260709T202935_P05023_N_F_J_001,ASCENDING,2026-07-10,2026-07-10 05:29,109.800000,HVHV,outside_0_20,外側0–20 m,ok,20861.924188,205,205,1.000000,-25.296543,-19.998095,-16.944638,-13.703264,-10.854203,-8.693830,-0.890403,-13.885936,-13.192392,-0.510872
27,NISAR_L2_PR_GCOV_025_024_A_018_4005_DHDH_A_20260709T202900_20260709T202935_P05023_N_F_J_001,ASCENDING,2026-07-10,2026-07-10 05:29,109.800000,HHHH,outside_20_50,外側20–50 m,ok,35807.175654,355,355,1.000000,-15.551092,-10.853821,-8.546296,-6.549847,-4.498674,-2.416528,5.600934,-6.574771,-6.730669,0.180823
27,NISAR_L2_PR_GCOV_025_024_A_018_4005_DHDH_A_20260709T202900_20260709T202935_P05023_N_F_J_001,ASCENDING,2026-07-10,2026-07-10 05:29,109.800000,HVHV,outside_20_50,外側20–50 m,ok,35807.175654,355,355,1.000000,-28.295989,-19.050206,-15.226101,-12.674690,-10.378879,-8.284274,-3.095692,-13.150332,-12.661904,-0.012786
27,NISAR_L2_PR_GCOV_025_024_A_018_4005_DHDH_A_20260709T202900_20260709T202935_P05023_N_F_J_001,ASCENDING,2026-07-10,2026-07-10 05:29,109.800000,HHHH,outside_50_100,外側50–100 m,ok,71968.696664,722,709,0.981994,-17.557172,-10.716777,-8.925239,-6.990885,-5.086578,-3.264147,6.522454,-6.925100,-7.047429,0.056544
27,NISAR_L2_PR_GCOV_025_024_A_018_4005_DHDH_A_20260709T202900_20260709T202935_P05023_N_F_J_001,ASCENDING,2026-07-10,2026-07-10 05:29,109.800000,HVHV,outside_50_100,外側50–100 m,ok,71968.696664,722,709,0.981994,-24.064148,-18.489275,-15.729962,-13.161062,-11.122329,-9.240053,-4.980253,-13.529076,-13.115293,-0.045769
27,NISAR_L2_PR_GCOV_026_024_A_018_4005_DHDH_A_20260721T202900_20260721T202934_P05023_N_F_J_001,ASCENDING,2026-07-22,2026-07-22 05:29,17.600000,HHHH,inside_0_20,内側0–20 m,ok,17985.035764,183,183,1.000000,-21.579953,-15.328794,-13.470838,-10.423646,-7.214616,-4.332988,-0.020059,-10.193937,-10.388130,-0.035516
27,NISAR_L2_PR_GCOV_026_024_A_018_4005_DHDH_A_20260721T202900_20260721T202934_P05023_N_F_J_001,ASCENDING,2026-07-22,2026-07-22 05:29,17.600000,HVHV,inside_0_20,内側0–20 m,ok,17985.035764,183,183,1.000000,-26.396316,-23.563587,-21.331441,-18.195341,-13.678800,-10.751471,-5.439827,-17.534435,-17.489383,-0.705958
27,NISAR_L2_PR_GCOV_026_024_A_018_4005_DHDH_A_20260721T202900_20260721T202934_P05023_N_F_J_001,ASCENDING,2026-07-22,2026-07-22 05:29,17.600000,HHHH,inside_20_40,内側20–40 m,ok,12060.295974,120,120,1.000000,-19.814734,-17.070489,-15.807795,-14.248478,-12.650167,-11.186910,-4.144637,-14.118635,-13.338544,-0.909934
27,NISAR_L2_PR_GCOV_026_024_A_018_4005_DHDH_A_20260721T202900_20260721T202934_P05023_N_F_J_001,ASCENDING,2026-07-22,2026-07-22 05:29,17.600000,HVHV,inside_20_40,内側20–40 m,ok,12060.295974,120,120,1.000000,-29.555749,-24.576530,-23.173429,-21.588438,-20.385635,-19.121718,-7.736387,-21.662439,-21.327731,-0.260708
27,NISAR_L2_PR_GCOV_026_024_A_018_4005_DHDH_A_20260721T202900_20260721T202934_P05023_N_F_J_001,ASCENDING,2026-07-22,2026-07-22 05:29,17.600000,HHHH,inside_core,内側40 m以上,ok,8509.437294,88,88,1.000000,-21.659979,-16.702928,-15.303807,-14.149404,-12.626274,-11.358538,-9.300632,-14.062000,-13.797462,-0.351942
27,NISAR_L2_PR_GCOV_026_024_A_018_4005_DHDH_A_20260721T202900_20260721T202934_P05023_N_F_J_001,ASCENDING,2026-07-22,2026-07-22 05:29,17.600000,HVHV,inside_core,内側40 m以上,ok,8509.437294,88,88,1.000000,-27.409009,-24.161279,-23.273492,-22.031945,-20.243082,-19.068268,-17.089096,-21.818591,-21.906236,-0.125709
